"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.0156,-0.00239,2.478e-05,0.002574,0.004764,0.00122,-1.333,22.93
"PctDiff",-0.1528,-0.0974,0.003151,0.1101,0.1638,0.05341,0.09259,2.827
