"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-504.9,-67.24,12.03,138.5,-2.458,9.098
"Mean",-57.47,4.414,102.2,155.2,-15.07,285.3
"P.975",3.935,93.55,503.5,136.8,2.378,9.002
"SD",1.22,1756,9903,11210,15.91,298.3
"Skew",-69.34,1.213,69.7,35.9,-0.00853,2.613
"Kurt",3.432,1678,4974,1671,0.6496,2.068
