"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.053,-0.02151,-0.0004049,0.01887,0.04065,0.008605,-0.4828,8.256
"PctDiff",-0.2034,-0.1442,-0.002345,0.1416,0.2102,0.07239,0.0663,2.696
