"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0,0.4271,0.7592,0.8611,0.3449,-0.3429,1.208
"Stoch",0,0,0.4271,0.7594,0.861,0.3449,-0.3429,1.208
