"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0.0375291448939024,0.081647527725996,0.171550315726446,0.0397110180082566,1.00988436586972,3.56496168803905
"Mean",0.0741202549169531,0.140482386092347,0.26568220530933,0.0569054050732504,0.886065012680381,3.21729198966671
"P.975",0.114619704828078,0.202147385515234,0.363337062755335,0.073967968762431,0.840206600012312,3.10057151709098
"SD",0.0191524887298594,0.0299132438512799,0.048120828545281,0.00856963320760702,0.661351608502522,2.6652706258004
"Skew",0.0314049697064442,0.200523517047303,0.384977736346449,0.0941456572525626,0.327955170360219,3.33356966801632
"Kurt",3.39391716180241,3.74464251618772,4.2291059299981,0.213936015857107,0.888274325765548,5.26232217630057
