"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.03964,0.0538,0.4575,1.189,2.492,0.3177,1.029,4.962
"Stoch",0.0396,0.05378,0.4575,1.19,2.494,0.3177,1.029,4.967
