"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Meas",3.87,4.036,8.807,14.31,14.7,3.46,0.2382,1.938
"Fitted",4.35,4.491,8.807,14.17,14.38,3.405,0.3915,1.878
"Resid",-1.184,-1.096,-9.514e-17,0.9837,1.029,0.6153,-0.2081,2.616
