"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.0009507,-0.000532,0.000664,0.01074,0.0165,0.002559,4.428,23.01
"PctDiff",-0.305,-0.1765,0.4059,6.646,10.83,1.611,4.694,25.52
