"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0,0.692151613581616,3.47783283681339,1.11593227445554,1.76074437072143,6.31111029839698
"Mean",0,1.02034278757916,4.9521735281795,1.59547562182388,1.64112911489283,5.75944269507039
"P.975",0,1.37364151892579,6.58288528036933,2.13076834007099,1.64725549264812,5.88526211340422
"SD",0,0.170705620277531,0.843441339507221,0.272403302302584,2.03380193292001,8.58688216285764
"Skew",0.0126666660974804,0.183818423113096,0.91596503430517,0.219664924202068,3.74360356085399,19.6580997711587
"Kurt",3.38402791503388,3.84336210894066,4.62817630240571,0.402487619588202,5.71249740195127,57.8108670089436
