"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.00348,-0.00184,2.079e-05,0.00186,0.003191,0.0008319,-0.01564,5.083
"PctDiff",-0.2161,-0.1384,0.002464,0.1523,0.2207,0.07298,-0.001596,2.979
