"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0.0523846785631341,0.337793291311529,0.973492536108099,0.369521698761967,7.0727230864479,74.2599250790598
"Mean",0.0631123065706672,0.412874017889533,1.19401305195087,0.466561544008409,7.0928615217474,74.0180337537701
"P.975",0.073842949634034,0.493881710537419,1.45143378270462,0.575060856837235,7.12043742800607,74.0771581009379
"SD",0.00464192324685871,0.0396141606463538,0.142449533356505,0.0536495594905577,6.96061288946946,70.1868779448867
"Skew",-0.0639567383423692,0.130959867398784,1.32643408705424,0.25833021909479,4.10599319972861,20.0330298341205
"Kurt",3.08324678771352,3.54913395173899,5.69509767480019,0.553689470754831,4.41705679152766,28.1378135807919
