"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.1142,-0.02576,0.04054,0.03527,-1.111,6.524
"Mean",-0.07286,-0.0007722,0.096,0.03552,0.7664,6.839
"P.975",-0.03188,0.02375,0.1502,0.0407,2.214,10.45
"SD",0.006156,0.0127,0.03351,0.006352,2.586,11.69
"Skew",-0.4767,-0.04209,0.4524,0.2628,0.1497,2.132
"Kurt",2.475,3.233,3.825,0.3663,-0.4254,2.475
