"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.02134,0.0823,0.3231,0.8047,1.649,0.2211,0.9032,3.419
"Stoch",0.1684,0.1737,0.4183,0.8233,1.127,0.1949,0.6492,2.516
