"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.01306,-0.006869,3.187e-05,0.003475,0.2581,3.543
"Mean",-0.009363,-0.004725,0.0003982,0.00274,1.023,8.001
"P.975",-0.005228,-0.002537,0.0008812,0.00204,3.996,36.35
"SD",0.0002243,0.001121,0.002029,0.0004911,0.19,2.913
"Skew",-0.4191,-0.01918,0.2003,0.1646,-0.6263,4.546
"Kurt",2.685,2.826,3.389,0.1595,3.229,15.21
