"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Meas",3.28,3.759,9.225,15.11,16.1,3.438,0.1509,1.906
"Fitted",3.822,4.218,9.225,14.61,15.09,3.213,0.1084,1.851
"Resid",-2.445,-2.074,2.982e-17,2.124,8.301,1.225,2.672,19.47
