"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.02576,-0.008933,-0.0001412,0.007041,0.01893,0.003439,-0.6131,13.35
"PctDiff",-0.1889,-0.157,-0.00422,0.144,0.2307,0.07327,0.009801,3.022
