"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.0008279,-0.0005466,5.308e-06,0.0005645,0.00156,0.0002885,0.132,3.254
"PctDiff",-0.2882,-0.1235,0.002968,0.1447,0.8255,0.06918,1.322,17.34
