"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-8.30778750976152,-2.10767222346457,1.28114391122457,2.43901168331672,-4.49355286309308,49.3749697392725
"Mean",-4.34113493444529,-0.054626523168465,5.30751259371885,2.2190822524734,0.536083728790353,24.0631912455846
"P.975",-1.02204334935737,1.933242178813,9.18190221143829,2.68482985504027,4.19076674808799,35.2585104033288
"SD",0.486538635748338,1.018065684585,2.52569589249745,0.604945791327537,5.34329998999733,49.3374329316694
"Skew",-0.8433573662999,-0.0741394699101574,0.810208922684842,0.455272107361292,0.194526057417496,2.2631505002854
"Kurt",2.37403407720707,4.0895632201447,5.31465544963725,0.857614580676696,-0.575862329698069,2.31260941936217
