"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.001474,-0.0006694,-1.111e-05,0.0005781,0.001335,0.0002919,-0.1969,6.32
"PctDiff",-0.187,-0.1101,-0.001448,0.1028,0.1658,0.05438,-0.06923,2.857
