"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.002324,-0.0005584,2.423e-06,0.0005577,0.002849,0.0002634,0.3577,19.19
"PctDiff",-0.2424,-0.1369,-0.0001684,0.1399,0.253,0.07013,0.04659,2.957
