"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",1.66722817161752,8.17933048264929,18.1989848459019,4.46739426575018,0.64323288607077,3.18839444031887
"Mean",1.87224162552612,9.57240681362,22.7918234735347,5.40151319231149,0.755461540405486,3.50389060816345
"P.975",2.09065859683026,11.0050487675113,27.3157583396204,6.45973649781762,0.869310583535599,3.74154148378928
"SD",0.0949454319516488,0.706487674293285,2.33433479762379,0.606960721934463,1.5503078833,4.9890503532472
"Skew",-0.054748115816884,0.0610916687634857,0.192865029462872,0.0890652406137552,5.01044615491075,52.5347991451201
"Kurt",3.24666403811504,3.7001177014183,4.28487816114631,0.286190591717846,0.801304135100912,5.90412717004026
