"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0,1.251,3.531,3.832,1.032,0.2546,2.354
"Stoch",0,0,1.251,3.53,3.828,1.032,0.2544,2.354
