"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.2832,0.3681,1.864,4.163,19.37,1.245,2.348,29.65
"Stoch",0.2832,0.3679,1.864,4.161,19.35,1.245,2.344,29.57
