"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.06401,0.1189,0.4393,1.152,4.325,0.3213,3.258,27.65
"Stoch",0.1683,0.1724,0.4468,1.11,1.454,0.2602,1.092,3.468
