"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.1707,0.2286,0.5673,1.158,1.545,0.2518,0.9639,3.294
"Stoch",0.1774,0.2287,0.566,1.155,1.442,0.2493,0.9298,3.134
