"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-8.606e-07,-1.065e-07,4.151e-09,1.53e-07,2.241e-06,1.046e-07,8.328,173.5
"PctDiff",-0.009969,-0.006896,3.971e-05,0.007422,0.009999,0.003666,0.01339,2.787
