"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.003029,-0.001463,1.489e-05,0.001426,0.002603,0.0007277,-0.07692,3.349
"PctDiff",-0.1306,-0.07098,0.001073,0.07061,0.09872,0.03685,-0.1057,2.747
