"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0.875477999441816,4.23669012365901,7.92321309289844,2.04667484462501,0.222032429285257,2.30941646235852
"Mean",1.02750255708534,5.24135364845577,10.3028733568551,2.75654088012962,0.390368107835081,2.21997203457808
"P.975",1.18178794196574,6.31017611973254,13.3994784694031,3.57331332658054,0.57374270227723,2.40567477815895
"SD",0.0769240152130738,0.531589234156652,1.65064340452238,0.425748250766566,1.31231327893547,3.91608809054644
"Skew",-0.0180366833793094,0.0898389190221386,0.423610151203597,0.133762579406368,5.35197064461711,34.1150138256861
"Kurt",2.85694260710436,3.02313112639315,3.2054852047805,0.141043145289578,4.34668791398227,30.7058463546645
