"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Meas",3.78,4.333,9.223,15.85,16.9,3.897,0.4583,2.103
"Fitted",4.154,4.463,9.223,15.39,15.83,3.861,0.3144,1.716
"Resid",-1.1,-0.9477,2.775e-18,0.889,1.073,0.525,-0.08283,3.214
