"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.07079,0.09345,0.2906,0.8778,1.954,0.2392,1.907,7.847
"Stoch",0.0708,0.09345,0.2906,0.8783,1.954,0.2392,1.908,7.85
