"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.02744,-0.01239,-0.000173,0.01171,0.02204,0.005507,-0.2369,6.038
"PctDiff",-0.1096,-0.06802,-0.0006149,0.06761,0.1238,0.03485,-0.01246,2.918
