"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.408,0.4893,1.026,1.58,1.67,0.3073,-0.05965,1.958
"Stoch",0.408,0.4894,1.026,1.581,1.67,0.3073,-0.05958,1.958
