"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.410323652568673,-0.113836347440718,0.0639550966423075,0.125149177611025,-2.10677525434429,15.7647970728544
"Mean",-0.216315570148506,0.00231600058454029,0.272834312566257,0.119444521415114,0.945882503777162,12.2017571453167
"P.975",-0.0486997351050247,0.116020451397297,0.48958801195913,0.152833335829396,2.84654134127777,17.607842999814
"SD",0.0249164711884805,0.0586534611349863,0.13306241024997,0.0297364833243274,3.62960475702388,25.6339756691824
"Skew",-0.840986426786151,-0.0660191361958007,0.829671236129467,0.519005688155995,0.157706575465672,1.78931308357958
"Kurt",2.3945006735578,3.83939652247272,5.04541405973605,0.765014629447263,-0.365684471539992,2.15585215063307
