"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0,4.01530403248374,14.4378580557975,4.06963966347177,0.88817703513505,3.22437220516143
"Mean",0,5.53006333208377,18.3285887831879,5.45326203660189,0.694475420302089,2.62698711902364
"P.975",0,7.13061184178472,22.6140073752128,6.98461876887112,0.611296898861839,2.32516086483248
"SD",0,0.779958543131956,2.39697744265803,0.799212647924856,0.676029531321071,2.12177609622156
"Skew",0.00637840752087436,0.133786112930262,0.375028226057163,0.124886249053286,5.269856192638,46.0130192785519
"Kurt",3.42258789448509,3.78386868253604,4.20644685039664,0.249898532569984,4.72759691768337,63.9635015041279
