"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.623,1.699,15.29,53.66,94.86,14.26,1.671,5.685
"Stoch",0.6229,1.699,15.29,53.63,94.85,14.26,1.671,5.685
