"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0,0.9073,1.669,1.701,0.6951,-0.377,1.311
"Stoch",0,0,0.9073,1.669,1.7,0.6951,-0.3771,1.311
