"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.09928,0.01027,0.1182,0.05081,0.09257,4.486
"Mean",-0.0381,0.05042,0.1942,0.0511,0.8408,4.93
"P.975",0.009798,0.09053,0.2563,0.05685,1.312,5.487
"SD",0.01092,0.02055,0.04653,0.008948,1.65,6.079
"Skew",-0.3772,0.001594,0.3902,0.1889,0.01764,2.971
"Kurt",2.612,3.134,3.647,0.259,0.03218,3.045
