"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0.0006329,0.00524,0.01122,0.01727,0.003016,0.3479,2.483
"Stoch",0.0004844,0.001105,0.00571,0.01169,0.01774,0.003016,0.348,2.483
