"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0,0.544416816258597,1.35763765722582,0.463388272810203,0.125571345545166,1.64919271037285
"Mean",0,0.661750747021538,1.58651668104864,0.54845757837617,0.0190365895094064,1.5773475082371
"P.975",0,0.786655902616236,1.83238771386906,0.639071675437149,-0.0628478961107555,1.53054375726991
"SD",0,0.0613895088647811,0.120478165889941,0.0474892102041078,-0.33935114163296,1.31916942875486
"Skew",0.0199909549542546,0.158535300622603,1.23029594533881,0.224674285468041,4.93838533572699,27.6471769373886
"Kurt",3.13207947060782,3.49571497530414,5.04173201334314,0.512086479241374,6.00074456556059,48.8240666464273
