"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Meas",5.18,5.232,9.934,13.76,14,3.028,-0.1704,1.558
"Fitted",5.616,5.625,9.934,13.33,13.38,2.896,-0.2592,1.598
"Resid",-1.215,-1.144,4.406e-17,1.308,1.422,0.8856,0.1858,1.472
