"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.189,0.2286,0.5433,1.088,1.378,0.219,1.014,3.719
"Stoch",0.1905,0.2287,0.5433,1.088,1.378,0.219,1.015,3.719
