"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0.130677394077137,0.259770093812437,0.410606424047748,0.101225748661297,0.474759435362778,2.39383789775761
"Mean",0.151310611348619,0.310306966661915,0.504144960474377,0.129093512265515,0.515286912905228,2.26387596335761
"P.975",0.172909147680387,0.365216211882081,0.610194334567287,0.163122917788977,0.677399925964318,2.7776388283989
"SD",0.0106973674436609,0.026527582833179,0.0616832051667053,0.016518629648957,1.24634453846298,4.09125843813041
"Skew",-0.0343198876344816,0.14268533996141,1.21375285762526,0.230177610908989,4.19155546944319,21.1082355555307
"Kurt",3.23194458918506,3.71145811089268,5.22066702917012,0.499406899748618,3.22216523758971,17.6371802991362
