"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.689,0.8772,1.894,2.79,3.03,0.5647,-0.4383,1.936
"Stoch",0.6888,0.8774,1.894,2.79,3.03,0.5647,-0.4382,1.937
