"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.000156,-9.242e-05,-1.099e-06,8.87e-05,0.000189,4.532e-05,0.03598,3.371
"PctDiff",-0.1708,-0.107,-0.001618,0.1047,0.1761,0.05413,0.001779,2.803
