"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.0009255,-0.0005718,3.089e-05,0.0006157,0.006723,0.0004713,6.518,76.01
"PctDiff",-0.2873,-0.1443,0.01698,0.1485,3.939,0.2218,11.95,169.9
