"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.004825,-0.002756,-9.871e-05,0.002324,0.005673,0.001167,-0.1661,6.024
"PctDiff",-0.2151,-0.145,-0.006772,0.1321,0.2366,0.07258,-0.01258,2.886
