"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Meas",6.62,7.072,11.56,18.56,19.6,3.493,0.764,2.881
"Fitted",7.298,7.339,11.56,18.17,19.79,3.404,0.7577,3.023
"Resid",-1.612,-1.424,-3.02e-17,1.496,1.745,0.7801,0.09216,3.557
