"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0.5075,13.4,25.95,27.05,8.121,-0.02113,1.657
"Stoch",0,0.5072,13.4,25.96,27.06,8.121,-0.02114,1.657
