"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.002237,-0.0007332,2.556e-05,0.0008074,0.001262,0.0003843,-0.1779,4.498
"PctDiff",-0.1694,-0.07113,0.002472,0.07299,0.1052,0.03589,-0.1321,3.2
