"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0,0,2.542,11.77,18.77,4.096,1.375,3.718
"Stoch",0,0,2.542,11.76,18.77,4.096,1.375,3.719
