"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.1073,0.008146,0.082,0.04537,-1.06,5.533
"Mean",-0.04005,0.05434,0.1443,0.04446,-0.1834,4.941
"P.975",0.02211,0.1009,0.2136,0.05042,0.5967,4.461
"SD",0.01242,0.02359,0.04324,0.009088,0.7703,2.772
"Skew",-0.2517,0.01226,0.2822,0.1243,0.04464,4.769
"Kurt",2.715,3.201,3.554,0.1914,-0.4877,4.915
