"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.0009575,-0.0005092,0.0007784,0.009645,0.01671,0.002632,3.929,18.86
"PctDiff",-0.311,-0.1404,0.4686,5.86,10.96,1.644,4.198,21.28
