"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.005497,-0.003397,0.001429,0.01767,0.09924,0.00966,7.177,60.09
"PctDiff",-0.4637,-0.09274,6.536,9.077,2481,91.27,20.56,480.7
