"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.6513,0.9061,7.136,26.75,50.4,6.83,2.084,8.369
"Stoch",0.6513,0.9063,7.136,26.74,50.42,6.83,2.084,8.371
