"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",0,2.27900878932847,9.94645048764307,3.43555427863213,1.12826709815481,2.68390587219596
"Mean",0,2.83893794989418,12.1471413908587,4.23468407999318,1.09505563075509,2.61091266861054
"P.975",0,3.43012190124986,14.497065314092,5.08815342165621,1.07229201718027,2.55107343361763
"SD",0,0.290137465117038,1.24470568322926,0.43364681651539,1.12874101172489,2.8067903662226
"Skew",0.0241995965909097,0.137344442849715,0.341474359531678,0.137051029079974,6.65251510559317,61.5443653387862
"Kurt",3.3275122938094,3.62223412519172,4.0505271551102,0.280141697219199,6.05339221699229,63.5857892411703
