"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",-0.01958,-0.005806,3.668e-05,0.005174,0.02273,0.00245,1.105,21.74
"PctDiff",-0.1953,-0.1423,0.001785,0.1462,0.2211,0.06921,-0.02643,3.079
