"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Determ",0.004,0.193,12.86,25.1,26.4,7.82,-0.0481,1.726
"Stoch",0.1043,0.2098,12.86,25.1,26.4,7.818,-0.04722,1.725
