"","Min","P_2.5","Mean","P_97.5","Max","SD","Skew","Kurt"
"Diff",0.0004587,0.0004632,0.0004701,0.0004771,0.0004905,3.67e-06,0.2945,3.843
"PctDiff",2.713,4.214,Inf,74.45,Inf,NA,NA,NA
