"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-1.83650842300459,-0.596464195815433,0.228583054135955,0.513640361828457,-1.72208782309082,12.235749247919
"Mean",-0.858195639349714,-0.00545170744290609,1.01247817991354,0.446449763781415,0.68612725986295,12.8756365638025
"P.975",-0.173420842622409,0.5756228272119,1.96606429193674,0.56518747604619,2.48795169329418,17.8248870930493
"SD",0.119956961115605,0.293176384680351,0.532087194177542,0.11693525014618,2.33700715506923,18.2433028041444
"Skew",-0.79597500133834,-0.045881176947208,0.773671717969506,0.453358066856281,0.138695006899458,2.05946731308245
"Kurt",2.45652517171979,3.98714155874053,4.94701774324165,0.673441249587576,-0.818937562858031,2.8208497724956
