"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.2108,-0.05526,0.05173,0.0577,-1.273,10.21
"Mean",-0.1737,-0.03952,0.07524,0.05506,-0.6423,9.96
"P.975",-0.1417,-0.02378,0.1027,0.05451,0.1361,9.638
"SD",0.002229,0.008035,0.02225,0.00555,1.318,4.058
"Skew",-0.06947,0.0004707,0.06409,0.03451,-0.1895,3.111
"Kurt",2.876,2.998,3.135,0.06893,0.2959,3.364
