"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.1748,-0.07262,0.00612,0.0477,-0.364,3.558
"Mean",-0.1188,-0.04299,0.03522,0.0393,0.3271,5.131
"P.975",-0.07715,-0.01394,0.08217,0.03845,1.276,7.776
"SD",0.004719,0.01487,0.03748,0.00926,1.157,3.419
"Skew",-0.1561,-0.04655,0.05898,0.06453,2.589,39.62
"Kurt",2.993,3.295,3.653,0.1724,0.5804,4.332
