point,date,trip,study.region,water.source,sample.freq,dry,low.stagnt,sample.only,damaged,not.found,no.access,duplicate.taken,comment,field.depth.to.water.m,field.pump.flow.mL.min,field.temp.C,field.ec.uS.cm,field.DO.mg.L,field.pH,field.ORP.mV,TA.U.ug.L,D.TA.U.ug.L,SDSU.Se.ug.L,D.SDSU.Se.ug.L,SDUS.SeO3.ug.L,D.SDSU.SeO3.ug.L,SDSU.SeO4.ug.L,D.SDSU.SeO4.ug.L,SDSU.SeTREC.ug.L,D.SDSU.SeTREC.ug.L,SDSU.Fe.mg.L,D.SDSU.Fe.mg.L,SDSU.FeTREC.mg.L,D.SDSU.FeTREC.mg.L,Ward.pH,Ward.SAR,Ward.Adjusted.SAR,Ward.TDS.Est,Ward.EC,Ward.Cations,Ward.Anions,Ward.Sodium,Ward.Calcium,Ward.Magnesium,Ward.Potassium,Ward.Total.Hardness,Ward.Nitrate,Ward.Sulfur,Ward.CO3,Ward.HCO3,Ward.Chloride,Ward.Total.Alkalinity,Ward.Boron,Ward.Fluoride,Ward.Silica,Ward.Total.Nitrogen,Ward.Ammonium..NH4.,Ward.Ortho.P,Ward.Total.P,Ward.Zinc,Ward.Dissolved.Fe,Ward.Total.Fe,Ward.Manganese,Ward.Copper,Ward.Aluminum,Ward.Total.Solids,Ward.Total.Dissolved.Solids,Ward.Total.Suspended.Solids,Ward.Nitrite,Ward.Molybdenum,Ward.Total.Organic.Carbon.ppm,D.Ward.pH,D.Ward.SAR,D.Ward.Adjusted.SAR,D.Ward.TDS.Est,D.Ward.EC,D.Ward.Cations,D.Ward.Anions,D.Ward.Sodium,D.Ward.Calcium,D.Ward.Magnesium,D.Ward.Potassium,D.Ward.Total.Hardness,D.Ward.Nitrate,D.Ward.Sulfur,D.Ward.CO3,D.Ward.HCO3,D.Ward.Chloride,D.Ward.Total.Alkalinity,D.Ward.Boron,D.Ward.Fluoride,D.Ward.Silica,D.Ward.Total.Nitrogen,D.Ward.Ammonium..NH4.,D.Ward.Ortho.P,D.Ward.Total.P,D.Ward.Zinc,D.Ward.Dissolved.Fe,D.Ward.Total.Fe,D.Ward.Manganese,D.Ward.Copper,D.Ward.Aluminum,D.Ward.Total.Solids,D.Ward.Total.Dissolved.Solids,D.Ward.Total.Suspended.Solids,D.Ward.Nitrite,D.Ward.Molybdenum,D.Ward.Total.Organic.Carbon.ppm,calc.cat.an,calc.cat.meq,calc.an.meq,calc.cat.an.pct.dif,calc.TDS,calc.TDS.pct.dif,calc.NO3,calc.SO4
321,6/3/2004,9,D,W,R,,,,,,,x,,1.86,,17.84,2205,0.63,7.08,207,,,0.967,0.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,6/1/2004,9,D,W,R,,,,,,,,,3.05,,14.28,3547,2.58,7.1,191.9,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,6/1/2004,9,D,W,N,,,,,,,,,6.52,,20.57,1760,8.16,7.29,223.4,,,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,6/4/2004,9,D,W,R,,,,,,,,,1.04,,19.11,5640,0.62,7.2,-205.9,,,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,6/4/2004,9,D,W,R,,,,,,,x,,7.62,,18.43,5505,5.3,6.93,94.2,,,1.08,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,6/1/2004,9,D,W,R,,,,,,,,,2.44,,14.29,3334,1.08,7.1,201.4,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,6/4/2004,9,D,W,R,,,,,,,,,1.78,,17.44,3940,1.82,6.67,175.6,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,6/1/2004,9,D,W,R,,,,,,,x,,2.9,,15.82,3749,0.97,6.84,193.7,,,8.95,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,6/1/2004,9,D,W,R,,,,,,,,,5.7,,17.75,2604,8.18,7.39,204.5,,,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,6/1/2004,9,D,W,R,,,,,,,,,4.45,,16.16,3461,3.77,6.97,207.5,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,6/1/2004,9,D,W,R,,,,,,,,,2.62,,18.9,4554,4.99,6.96,198.5,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,6/1/2004,9,D,W,R,,,,,,,,,2.47,,16.75,4412,2.21,6.93,178.8,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,6/4/2004,9,D,W,R,,,,,,,,,5.03,,16.49,2884,3.66,6.94,118.5,,,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,6/1/2004,9,D,W,R,,,,,,,,,2.47,,15.3,3916,3.28,7.2,50.3,,,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,6/1/2004,9,D,W,R,,,,,,,,,8.41,,20,2899,3.03,7.04,203.7,,,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,6/4/2004,9,D,W,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,6/4/2004,9,D,W,R,,,,,,,,,6.34,,19.01,3288,5.24,6.79,118.9,,,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,6/4/2004,9,D,W,R,,,,,,,,,6.89,,20.95,4037,4.27,6.72,181,,,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,6/2/2004,9,D,W,R,,,,,,,,,8.69,,17.42,4975,2.07,6.79,198.5,,,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,6/1/2004,9,D,W,N,,,,,,,,,2.1,,15.93,4590,6.56,6.9,229.9,,,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,6/2/2004,9,D,W,R,,,,,,,,,2.1,,15.91,5986,7.18,6.87,207.7,,,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,6/4/2004,9,D,W,R,,,,,,,,,6.19,,18.56,16193,5.34,6.84,151,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,6/4/2004,9,D,W,R,,,,,,,,,5.91,,19.34,7513,4.64,6.99,164.2,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,6/2/2004,9,D,W,R,,,,,,,,,6.1,,18.45,5292,6.11,6.78,203.6,,,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,6/2/2004,9,D,W,R,,,,,,,,,2.35,,16.48,6860,2.03,6.76,200.9,,,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,6/2/2004,9,D,W,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,6/2/2004,9,D,W,R,,,,,,,,,2.47,,18.3,6045,1.24,6.7,114.2,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,6/2/2004,9,D,W,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,6/2/2004,9,D,W,R,,,,,,,,,4.01,,19.84,2776,4.61,7,192.2,,,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,6/2/2004,9,D,W,R,,,,,,,,,5.55,,24.53,7597,3.8,6.91,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,6/2/2004,9,D,W,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,6/2/2004,9,D,W,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,6/2/2004,9,D,W,R,,,,,,,,,2.35,,15.63,6082,1.33,6.85,198.1,,,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,6/2/2004,9,D,W,R,,,,,,,,,2.35,,17.33,5517,4.68,6.44,211.2,,,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,6/2/2004,9,D,W,R,,,,,,,,,4.65,,17.44,4085,2.35,6.9,185.4,,,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,6/2/2004,9,D,W,R,,,,,,,x,,1.62,,17.15,5513,0.44,6.75,82.7,,,9.52,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303A,6/3/2004,9,D,W,D,,,,,,,,,8.29,,17.23,4270,5.47,7.05,121.7,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306A,6/3/2004,9,D,W,R,,,,,,,,,3.35,,19.47,1894,5.06,7.06,206.5,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308A,6/3/2004,9,D,W,R,,,,,,,,,7.07,,18.94,4161,5.69,6.69,216.3,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312AA,6/3/2004,9,D,W,R,,,,,,,,,9.72,,18.15,2534,5.77,6.66,230.4,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319A,6/3/2004,9,D,W,R,,,,,,,,,2.26,,16.86,2545,0.81,7.17,196.6,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350A,6/4/2004,9,D,W,R,,,,,,,,,3.81,,21.5,3630,3.95,6.97,154.6,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359J,6/4/2004,9,D,W,R,,,,x,,,,TOO MUDDY,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362A,6/1/2004,9,D,W,R,,,,,,,,,4.75,,15.81,3872,3.18,6.78,260.8,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363A,6/1/2004,9,D,W,R,,x,,,,,,,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376A,6/2/2004,9,D,W,R,,,,,,,,,1.34,,16.4,3984,0.59,6.87,153.7,,,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,6/3/2004,9,D,S,R,,,,,,,,,,,21.35,969,8.49,8.49,140.4,,,7.76,,,,,,,,,,14600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D101C,6/3/2004,9,D,A,R,,,,,,,x,,,,21.14,2301,9.6,8.05,159.6,,,8.79,8.58,,,,,,,,,292,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D102C,6/3/2004,9,D,A,R,,,,,,,,,,,24.16,3129,9.68,8.08,150,,,10.8,,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D103C,6/3/2004,9,D,A,R,,,,,,,,,,,24.64,3369,8.74,8.1,133.4,,,11.4,,,,,,,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D104C,6/3/2004,9,D,A,R,,,,,,,,,,,23.04,4610,8.5,7.72,143.7,,,14.3,,,,,,,,,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D105C,6/4/2004,9,D,A,R,,,,,,,,,,,17.71,4825,10.77,7.72,207.4,,,14,,,,,,,,,,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D106C,6/4/2004,9,D,A,R,,,,,,,,,,,18.39,4576,11.86,7.58,184.7,,,17.3,,,,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D12,6/3/2004,9,D,S,R,,,,,,,,,,,17.87,1728,8.21,6.87,175.5,,,1.98,,,,,,,,,,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D16,6/3/2004,9,D,S,R,,,,,,,,,,,20.82,2964,8.61,8.02,160.2,,,3.7,,,,,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D23,6/3/2004,9,D,S,R,,,,,,,,,,,22.25,4552,17.49,8.33,140.8,,,36.5,,,,,,,,,,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D24,6/3/2004,9,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D28,6/3/2004,9,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D31,6/3/2004,9,D,S,R,,,,,,,,,,,24.17,3020,12.56,8.33,130,,,14.6,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D37,6/3/2004,9,D,S,R,,,,,,,,,,,25.75,2474,9.16,8.44,130.1,,,14.8,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D51,6/4/2004,9,D,S,R,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D57,6/4/2004,9,D,S,R,,,,,,,,,,,25.06,2638,15.06,8.03,154.2,,,10.1,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D67,6/4/2004,9,D,S,R,,,,,,,,,,,18.05,4562,7.06,7.75,171.4,,,9.16,,,,,,,,,,3510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D68,6/4/2004,9,D,S,R,,,,,,,,,,,17.88,4486,3.57,7.78,63.9,,,5.28,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7,6/3/2004,9,D,S,R,,,,,,,,,,,18.67,1296,9.76,8.54,146.9,,,7.08,,,,,,,,,,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D75,6/3/2004,9,D,S,R,,,,,,,,,,,19.38,1483,9.24,8.27,170.4,,,6.74,,,,,,,,,,1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9,6/3/2004,9,D,S,R,,,,,,,,,,,18.87,3580,14.22,8.29,160.7,,,27.8,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,6/30/2004,10,D,W,R,,,,,,,,,4.97,,14.38,4205,2.56,6.63,78.3,,,47.1,,,,,,,,,,,,7.2,3.8,5.5,,3.76,,,407,540,183,11,2112,0.7,704,1,415,91,340,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,59.6,52.9,6,3761,,3,2109.2
302,6/30/2004,10,D,W,R,,,,,,,,,4.45,,14.9,10447,2.21,6.74,111,,,142,,,,,,,,,,,,7.3,14.7,17.8,,8.81,,,1813,447,421,10,2872,4.4,1873,1,674,657,552,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,134.7,145.6,-3.9,9656,,19,5611.5
305,6/30/2004,10,D,W,R,,,,,,,,,3.47,,14.95,6151,1.28,6.46,120.9,,,35.2,,,,,,,,,,,,7,6.3,8.8,,5.94,,,701,576,221,23,2361,33.4,899,1,474,578,389,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,77.4,81.9,-2.8,5416,,147,2693.4
306,6/30/2004,10,D,W,N,,,,,,,,,4.45,,16.06,19146,3.91,6.08,143.2,,,3760,,,,,,,,,,,,6.3,19.2,19.9,,14.5,,,3148,538,894,12,5070,499.1,1960,1,78,2687,64,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,235,233.4,0.3,15434,,2202,5872.2
307,6/30/2004,10,D,W,R,,,,,,,,,6.95,,16.03,4616,6.49,6.56,116.4,,,37.2,,,,,,,,,,,,7.1,5,6.9,,4.27,,,518,502,188,14,2038,3.4,818,1,392,110,322,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,63,60.3,2.2,4192,,15,2450.7
314,6/30/2004,10,D,W,R,,,,,,,,,0.88,,17.65,3683,1.14,6.71,-64.4,,,14.8,,,,,,,,,,,,7.2,3.6,4.9,,3.44,,,340,393,160,14,1649,1.6,614,1,399,97,327,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47.6,47.3,0.3,3251,,7,1839.5
316,6/30/2004,10,D,W,R,,,,,,,,,2.16,,15.46,4784,0.77,6.61,29.5,,,31.6,,,,,,,,,,,,7.2,5.8,7.9,,4.09,,,585,449,189,7,1910,3,828,1,424,126,348,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,63.1,61.9,1,4276,,13,2480.7
320,6/28/2004,10,D,W,R,,,,,,,,,2.87,,17.04,3430,0.6,6.54,126,,,3.62,,,,,,,,,,,,7.1,4.2,6.1,,3.32,,,315,262,93,207,1043,5.7,349,1,677,150,555,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,39.6,37.1,3.2,2776,,25,1045.6
321,6/28/2004,10,D,W,R,,,,,,,,,1.95,,18,1957,0.38,7.01,18,,,0.724,,,,,,,,,,,,7.6,4.4,5.4,,2.09,,,242,118,64,6,562,0.1,258,1,275,49,225,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,21.6,21.8,-0.3,1529,,0,773
324,6/28/2004,10,D,W,R,,,,,,,,,3.17,,15.53,3445,2.97,6.78,101,,,3.96,,,,,,,,,,,,7.4,4.1,5.2,,3.27,,,350,326,139,11,1394,0.6,565,1,265,102,217,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,42.9,42.2,0.9,2890,,3,1692.7
325,6/28/2004,10,D,W,N,,,,,,,,,6.49,,20.17,1600,7.87,7.08,131.1,,,3.44,,,,,,,,,,,,7.7,2.6,3,,1.72,,,145,118,76,7,612,0.5,214,1,203,44,166,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18.5,17.8,1.9,1238,,2,641.1
326,6/30/2004,10,D,W,R,,,,,,,,,0.91,,17.61,4374,4.61,7.09,-166.6,,,2.48,,,,,,,,,,,,7.5,5.3,7.5,,4.33,,,569,513,205,23,2137,2.3,913,1,491,100,402,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,67.3,67.4,-0.1,4648,,10,2735.3
329,6/30/2004,10,D,W,R,,,,,,,,,7.1,,15.87,5184,11.71,6.94,146,,,1.2,,,,,,,,,,,,7.5,7.3,9.5,,4.75,,,747,439,207,16,1960,0.3,971,1,290,157,238,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,71.3,69.3,1.4,4768,,1,2909.1
332,6/28/2004,10,D,W,R,,,,,,,,,2.32,,15.17,3311,1.27,6.86,120.4,,,8.19,,,,,,,,,,,,7.5,4.7,5.8,,3.35,,,379,265,138,10,1238,0.6,555,1,255,97,209,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41,41.2,-0.3,2811,,3,1662.8
334,6/30/2004,10,D,W,R,,,,,,,,,1.52,,16.98,3694,1.29,6.75,91.5,,,22.2,,,,,,,,,,,,7.3,5.1,6.9,,3.7,,,460,361,146,15,1511,3,611,1,334,83,273,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,50,45.8,4.5,3244,,13,1830.6
