"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.004579,-0.001644,-6.706e-05,0.001218,-0.9603,3.794
"Mean",-0.00328,-0.001122,1.639e-05,0.0008975,-0.6865,5.388
"P.975",-0.002036,-0.0006666,0.0001149,0.0006169,1.386,26.64
"SD",5.299e-05,0.0002481,0.0006604,0.0001665,1.088,3.817
"Skew",-0.6215,-0.377,0.1242,0.2117,2.085,8.921
"Kurt",3.273,3.669,4.2,0.2309,0.6071,4.161
