"","xP0.025","xMean","xP0.975","xSD","xSkew","xKurt"
"P.025",-0.2331,-0.07492,-0.03564,0.04757,-2.406,8.22
"Mean",-0.1162,-0.04492,-0.01912,0.02352,-1.497,8.009
"P.975",-0.03558,-0.01529,0.02221,0.01646,3.709,31.73
"SD",0.006825,0.0149,0.05935,0.01327,2.591,8.467
"Skew",-0.2465,-0.08998,0.04584,0.1047,4.3,40.38
"Kurt",3.365,3.732,4.23,0.2263,1.002,6.662
